STT;Tên đầy đủ;Mã số doanh nghiệp;Sàn niêm yết;Mã chứng khoán
1;CTCP 32;0300517896;UPCOM;A32
2;CTCP Nhựa An Phát Xanh;0800373586;HOSE;AAA
3;CTCP Hợp Nhất;2400379403;UPCOM;AAH
4;CTCP Thủy sản Mekong;1800448811;HOSE;AAM
5;CTCP Lương thực A An;0109510866;Chưa niêm yết và chưa Upcom;AAN
6;CTCP Tập đoàn Tiên Sơn Thanh Hóa;2800222245;HOSE;AAT
7;CÔNG TY CỔ PHẦN AAV GROUP;0800819038;HNX;AAV
8;Ngân hàng TMCP An Bình;0301412222;UPCOM;ABB
9;CTCP Truyền Thông VMG;0101883619;UPCOM;ABC
10;CTCP Bảo hiểm Ngân hàng Nông nghiệp;38GP/KDBH;UPCOM;ABI
11;CTCP Đầu tư Nhãn Hiệu Việt;0312080709;HOSE;ABR
12;CÔNG TY CỔ PHẦN DỊCH VỤ NÔNG NGHIỆP BÌNH THUẬN;3400382278;HOSE;ABS
13;CTCP Xuất nhập khẩu thủy sản Bến Tre;1300376365;HOSE;ABT
14;Ngân hàng TMCP Cổ phần Á Châu;0301452948;HOSE;ACB
15;Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC;3700926112;HOSE;ACC
16;Công ty CP Bê tông ly tâm An Giang;1600669108;UPCOM;ACE
17;CTCP Gỗ An Cường;3700748131;HOSE;ACG
18;CTCP XNK Thủy sản Cửu Long An Giang;1600680398;HOSE;ACL
19;CTCP Tập đoàn Khoáng sản Á Cường;0100511368;UPCOM;ACM
20;CTCP Xây lắp Thương mại 2;0300584155;UPCOM;ACS
21;Tổng Công ty Cảng Hàng không Việt Nam - CTCP;0311638525;UPCOM;ACV
22;CTCP Mĩ Thuật và Truyền Thông;0102365521;HNX;ADC
23;CTCP Clever Group (tên cũ CTCP Quảng cáo thông minh);0102850165;HOSE;ADG
24;CTCP Sơn Á Đông;0302066222;HOSE;ADP
25;Công ty Cổ phần Damsan;1000389853;HOSE;ADS
26;CTCP Xuất Nhập khẩu Nông sản Thực phẩm An Giang;1600194461;UPCOM;AFX
27;CTCP 28.1;0304484232;UPCOM;AG1
28;CTCP Xuất nhập khẩu thủy sản An Giang (AGIFISH);1600583588;UPCOM;AGF
29;Công ty cổ phần Đầu tư và Phát triển Bất động sản An Gia;0311500196;HOSE;AGG
30;CTCP Xuất Nhập Khẩu An Giang (Angimex);1600230737;UPCOM;AGM
31;Công Ty Cổ Phần Dược Phẩm Agimexpharm;1600699279;UPCOM;AGP
32;CTCP Thực phẩm Nông sản Xuất khẩu Sài Gòn;0301042973;UPCOM;AGX
33;Tổng Công ty Cổ phần Bảo hiểm DBV;49GP/KDBH;UPCOM;AIC
34;CTCP Nguyên liệu Á Châu AIG;0314524981;UPCOM;AIG
35;CTCP Âu Lạc;0302704796;HNX;ALC
36;CTCP Văn hóa Tân Bình;0301420079;HNX;ALT
37;Công ty cổ phần Tập đoàn MCST;3300529819;UPCOM;ALV
38;Công ty cổ phần Khoáng sản Á Châu;2900859599;HNX;AMC
39;CÔNG TY CỔ PHẦN ALPHANAM E&C;0100520683;HNX;AME
40;CTCP Armephaco;0100109191;UPCOM;AMP
41;Công ty cổ phần Cơ khí Xây dựng Amecc;0200786983;UPCOM;AMS
42;CTCP Sản xuất kinh doanh Dược và Trang thiết bị y tế Việt Mỹ;3800237998;HNX;AMV
43;Công ty Cổ Phần Rau quả thực phẩm An Giang;1600230014;UPCOM;ANT
44;CTCP Nam Việt;1600168736;HOSE;ANV
45;Công Ty Cổ Phần Chiếu xạ An Phú;3700480244;UPCOM;APC
46;Công ty CP Nông sản thực phẩm Quảng Ngãi;4300321643;UPCOM;APF
47;CTCP Tập đoàn An Phát Holdings;0801210129;HOSE;APH
48;CTCP Đầu tư Châu Á - Thái Bình Dương;0102005769;HNX;API
49;CTCP Cơ khí và Thiết bị áp lực - VVMI;0102274810;UPCOM;APL
50;CTCP Phát triển Phụ gia và Sản phẩm dầu mỏ;0101438047;UPCOM;APP
51;CTCP Kinh doanh Thủy hải sản Sài Gòn;0300523755;UPCOM;APT
52;CTCP xuất nhập khẩu Hàng không;0100107934;HNX;ARM
53;Công ty Cổ phần Tập đoàn ASG;0104960269;HOSE;ASG
54;CTCP Tập Đoàn Sao Mai;1600169024;HOSE;ASM
55;CT CP TẬP ĐOÀN DẦU KHÍ AN PHA;0303224471;HOSE;ASP
56;CTCP Dịch vụ Hàng không Taseco;0107007230;HOSE;AST
57;CTCP NTACO;1600513044;UPCOM;ATA
58;Công ty Cổ phần An Trường An;4100577172;UPCOM;ATG
59;CTCP Thương mại và Dịch vụ An Thành;5400235774;Chưa niêm yết và chưa Upcom;ATP
60;Công ty cổ phần Tập đoàn tập đoàn đầu tư ATS;0100830798;HNX;ATS
61;CTCP Thủy điện A Vương;4000478435;UPCOM;AVC
62;Công Ty Cổ Phần Việt An;1600720555;UPCOM;AVF
63;CTCP Phân bón Quốc tế Âu Việt;6300230407;UPCOM;AVG
64;Kiểm thử hệ thống AZZ;02001011115;;AZE
65;Ngân hàng TMCP Bắc Á;2900325526;HNX;BAB
66;Công ty Cổ phần Nông nghiệp BAF Việt Nam;0107795944;HOSE;BAF
67;CTCP Bao bì Bia - Rượu - Nước giải khát;0200159453;UPCOM;BAL
68;CTCP Thống Nhất;3600667859;HNX;BAX
69;Công ty cổ phần bao bì Hoàng Thạch;0800208342;UPCOM;BBH
70;CTCP Bia Hà Nội - Nam Định;0600161270;UPCOM;BBM
71;CTCP Vicem Bao bì Bút Sơn;0600312071;HNX;BBS
72;Công ty Cổ phần Bông Bạch Tuyết;0300715584;UPCOM;BBT
73;CTCP B.C.H;0800286887;UPCOM;BCA
74;Công ty Cổ phần 397;5701435907;UPCOM;BCB
75;CTCP Xi măng Bỉm Sơn;2800232620;HNX;BCC
76;CTCP Xây Dựng & Giao Thông Bình Dương;3700408992;HOSE;BCE
77;CTCP Thực phẩm Bích Chi;1400371184;HNX;BCF
78;CTCP Bamboo Capital;0311315789;HOSE;BCG
79;CTCP Đầu tư xây dựng Bình Chánh;0301881016;Chưa niêm yết và chưa Upcom;BCI
80;Tập đoàn đầu tư và phát triển công nghiệp Becamex - CTCP;3700145020;HOSE;BCM
81;Công ty cổ phần Dược Enlie;3700683163;UPCOM;BCP
82;CTCP BCG Land;0314922132;UPCOM;BCR
83;CTCP Du lịch và thương mại Bằng Giang Cao Bằng - Vimico;4800130044;UPCOM;BCV
84;CTCP May mặc Bình Dương;3700769438;UPCOM;BDG
85;CTCP Xây lắp và Vật liệu xây dựng Đồng Tháp;1400101396;UPCOM;BDT
86;CTCP Cấp thoát nước Bình Định;4100258955;UPCOM;BDW
87;CTCP Sách và thiết bị trường học Đà Nẵng;0400465793;HNX;BED
88;Công Ty Cổ phần Điện tử Biên Hòa;3600254548;UPCOM;BEL
89;CTCP Phân bón Bình Điền;0302975517;HOSE;BFC
90;Công ty cổ phần BCG ENERGY;0314445458;UPCOM;BGE
91;CTCP Nước sạch Bắc Giang;2400126106;UPCOM;BGW
92;CTCP Thủy điện Bắc Hà;5300240587;UPCOM;BHA
93;Công ty cổ phần bê tông Biên Hòa;3600448180;UPCOM;BHC
94;Công ty Cổ phần Chè Biển Hồ;5900188843;UPCOM;BHG
95;Tổng CTCP Bảo hiểm Sài Gòn - Hà Nội;56GP/KDBH;UPCOM;BHI
96;CTCP Bia Hà Nội - Kim Bài;0500293795;UPCOM;BHK
97;Tổng CTCP Bia - Rượu - Nước giải khát Hà Nội;0101376672;HOSE;BHN
98;CTCP Bia Hà Nội - Hải Phòng;0200153370;UPCOM;BHP
99;Tổng CTCP Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam;11GP/KDBH;HOSE;BIC
100;Ngân hàng TMCP Đầu tư và Phát triển Việt nam;0100150619;HOSE;BID
101;Công ty cổ phần Đầu tư Big Group Holdings;0108045831;UPCOM;BIG
102;Công ty Cổ phần Đầu tư và Phát triển công nghiệp Bảo Thư;3400555146;UPCOM;BII
103;CTCP Vắc xin và sinh phẩm Nha Trang;4200451832;UPCOM;BIO
104;CTCP Khoáng sản Bắc Kạn;4700149595;HNX;BKC
105;CTCP Đầu tư BKG Việt Nam;0106935814;HOSE;BKG
106;Công ty Cổ phần Thủy sản Bạc Liêu;1900253340;UPCOM;BLF
107;Tổng CTCP Bảo hiểm Bảo Long (CTCP bảo hiểm Nhà Rồng);0301458065;UPCOM;BLI
108;CTCP Vận tải và Dịch vụ Liên Ninh;0106953041;UPCOM;BLN
109;CTCP Lương thực Bình Định;4100259042;UPCOM;BLT
110;CTCP Khoáng sản Bình Định;4100390008;HOSE;BMC
111;Công ty cổ phần Môi trường và Dịch vụ đô thị Bình Thuận;3400861721;UPCOM;BMD
112;Công ty Cổ phần Vật liệu xây dựng và chất đốt Đồng Nai;3600661303;UPCOM;BMF
113;CTCP May Bình Minh;0301886832;UPCOM;BMG
114;Tổng CTCP Bảo Minh;27GP/KDBH;HOSE;BMI
115;CTCP Khoáng sản Miền Đông AHP;3700927878;UPCOM;BMJ
116;CTCP Kỹ thuật Nhiệt Mèo Đen;3500773109;UPCOM;BMK
117;CTCP Nhựa Bình Minh;0301464823;HOSE;BMP
118;Công ty cổ phần Bột mỳ Vinafood1;0107151097;UPCOM;BMV
119;CTCP Đầu tư Sản xuất Bảo Ngọc;0105950129;HNX;BNA
120;Công ty cổ phần Nước sạch Bắc Ninh;2300108311;UPCOM;BNW
121;Công ty cổ phần BOT Cầu Thái Hà;1001045855;UPCOM;BOT
122;CTCP Vicem Bao bì Bỉm Sơn;2800508928;HNX;BPC
123;Công ty cổ phần Bia Hà Nội - Quảng Bình;3100301045;UPCOM;BQB
124;Công ty cổ phần Nhựa chất lượng cao Bình Thuận;0700823506;UPCOM;BQP
125;Công Ty Cổ Phần Cao su Bến Thành;0301150295;HOSE;BRC
126;Công ty Cổ phần Cao su Bà Rịa;3500103432;UPCOM;BRR
127;CTCP Dịch vụ đô thị Bà Rịa;3500100167;UPCOM;BRS
128;Công ty Cổ phần Thủy điện Buôn Đôn;6000884487;UPCOM;BSA
129;CTCP Bia, Rượu Sài Gòn - Đồng Xuân;2600114002;UPCOM;BSD
130;CTCP Xe khách Sài Gòn;0300478044;UPCOM;BSG
131;Công ty cổ phần Bia Sài Gòn - Hà Nội;0102314051;UPCOM;BSH
132;CTCP Bia Sài Gòn - Sông Lam;2900783332;UPCOM;BSL
133;CTCP Bia Sài Gòn - Phú Thọ;2600393941;UPCOM;BSP
134;CÔNG TY CỔ PHẦN BIA SÀI GÒN - QUẢNG NGÃI;4300338460;UPCOM;BSQ
135;CTCP Lọc hóa dầu Bình Sơn;4300378569;HOSE;BSR
136;Công ty cổ phần Bảo vệ thực vật 1 Trung ương;0100101611;UPCOM;BT1
137;CTCP Beton 6;3700364079;UPCOM;BT6
138;CTCP Bia Hà Nội - Thái Bình;1000317707;UPCOM;BTB
139;Công ty Cổ Phần Bê tông Ly tâm Thủ Đức;0303171325;UPCOM;BTD
140;CTCP Bao bì Tiền Giang;1200568151;UPCOM;BTG
141;CTCP Chế tạo biến thế và Vật liệu điện Hà Nội;0100779340;UPCOM;BTH
142;CTCP Đầu Tư Bitco Bình Định;4100431180;UPCOM;BTN
143;CTCP Nhiệt điện Bà Rịa;3500701305;HOSE;BTP
144;CTCP Xi măng Vicem Bút Sơn;0700117613;HNX;BTS
145;CTCP Thương mại - Dịch vụ Bến Thành;0301164065;HOSE;BTT
146;CTCP Công trình đô thị Bến Tre;1300113091;UPCOM;BTU
147;CTCP Dịch vụ Du lịch Bến Thành;0301171827;UPCOM;BTV
148;Công ty Cổ phần Cấp nước Bến Thành;0304789925;HNX;BTW
149;Ngân hàng TMCP Bản Việt;0301378892;UPCOM;BVB
150;CÔNG TY CỔ PHẦN GROUP BẮC VIỆT;0100979011;UPCOM;BVG
151;Tập đoàn Bảo Việt;0100111761;HOSE;BVH
152;Công ty cổ phần BV Land;0102983609;UPCOM;BVL
153;Công ty cổ phần Bông Việt Nam;0301225328;UPCOM;BVN
154;CTCP Cấp thoát nước và Xây dựng Bảo Lộc;5800563106;UPCOM;BWA
155;Công ty cổ phần nước - môi trường bình dương;3700145694;HOSE;BWE
156;Công ty Cổ phần Cấp nước Bà Rịa - Vũng Tàu;3500101386;UPCOM;BWS
157;CTCP Vicem Bao bì Hải Phòng;0200600741;HNX;BXH
158;Công ty cổ phần cầu 12;0100104651;UPCOM;C12
159;Công ty cổ phần Thế kỷ 21;0300978657;UPCOM;C21
160;CTCP 22;0100512724;UPCOM;C22
161;CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG 3-2;3700146225;HOSE;C32
162;CTCP Xây dựng 47;4100258747;HOSE;C47
163;Công ty cổ phần Tập Đoàn Cienco4;2900324850;UPCOM;C4G
164;Công ty Cổ phần Xây dựng 1369;0800282385;HNX;C69
165;CTCP Xây dựng và Đầu tư 492;2900329305;UPCOM;C92
166;Công Ty CP Chế biến và XNK Thủy sản Cadovimex;2000102580;UPCOM;CAD
167;CTCP Cảng An Giang;1600125108;HNX;CAG
168;CTCP Đồ hộp Hạ Long;0200344752;HNX;CAN
169;Công ty cổ phần lâm nông sản thực phẩm Yên Bái;5200116441;HNX;CAP
170;Công ty cổ phần Tập đoàn Giáo dục Trí Việt;0106182582;HNX;CAR
171;Công ty Cổ phần Thủy sản Cà Mau;2000105020;UPCOM;CAT
172;CTCP Gang thép Cao Bằng;4800162247;UPCOM;CBI
173;Công ty cổ phần Mía đường Cao Bằng;4800104012;UPCOM;CBS
174;Tổng Công ty Xây dựng số 1 - CTCP;0301429113;UPCOM;CC1
175;CTCP Xuất nhập khẩu thủy sản Cần Thơ - Caseamex;1800632306;UPCOM;CCA
176;CTCP Xây dựng CDC;0105283073;UPCOM;CCC
177;CTCP Đầu tư Phát triển Công nghiệp - Thương Mại Củ Chi;0302704764;HOSE;CCI
178;CTCP Đầu tư và phát triển đô thị dầu khí Cửu Long;2200280598;HOSE;CCL
179;CTCP Khoáng sản và Xi măng Cần Thơ;1800553319;UPCOM;CCM
180;CTCP Cảng Cửa Cấm Hải Phòng;0200576055;UPCOM;CCP
181;CTCP Cảng Cam Ranh;4200272350;HNX;CCR
182;CTCP Chíp Sáng;0304392302;UPCOM;CCS
183;CTCP Cảng Cần Thơ;1801319907;UPCOM;CCT
184;CTCP Tư vấn xây dựng công nghiệp và đô thị Việt Nam;0100106183;UPCOM;CCV
185;Công ty Cổ Phần Chương Dương;0303146167;HOSE;CDC
186;Công ty Cổ Phần Cầu Đuống;0100104997;UPCOM;CDG
187;CTCP Cảng Đà Nẵng;0400101972;HNX;CDN
188;CTCP Tư vấn thiết kế và phát triển đô thị;0102963747;UPCOM;CDO
189;Công ty Cổ phần Dược phẩm trung ương Codupha;0300483319;UPCOM;CDP
190;CTCP Xây dựng cao su Đồng Nai;3600986703;UPCOM;CDR
191;CTCP Cencon Việt Nam;0107268056;UPCOM;CEN
192;Công ty cổ phần Tập đoàn C.E.O;0101183550;HNX;CEO
193;Công ty cổ phần HTC Holding;0104230142;HNX;CET
194;CTCP Đầu tư CFM;0107952805;UPCOM;CFM
195;CTCP Cà phê Thắng Lợi;6000182456;UPCOM;CFV
196;CTCP Dược phẩm Cần giờ;0302664945;Chưa niêm yết và chưa Upcom;CGP
197;CTCP Vinaceglass;0301446937;UPCOM;CGV
198;CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 5 HÀ NỘI;0100105493;UPCOM;CH5
199;Công ty cổ phần Cẩm Hà;4000101407;UPCOM;CHC
200;Công ty cổ phần Thủy điện Miền Trung;0400477830;HOSE;CHP
201;Công ty cổ phần Chiếu sáng công cộng TP HCM;0300423479;UPCOM;CHS
202;CTCP đầu tư xây dựng số 5;0302156370;UPCOM;CI5
203;CÔNG TY CỔ PHẦN DỊCH VỤ SÂN BAY QUỐC TẾ CAM RANH;4200810665;HNX;CIA
204;CTCP In và Bao bì Bình Định;4100300251;Chưa niêm yết và chưa Upcom;CIB
205;CTCP Xây dựng và Phát triển cơ sở hạ tầng;0200352802;UPCOM;CID
206;CTCP COMA 18;0500236860;HOSE;CIG
207;CTCP Đầu tư hạ tầng kỹ thuật TPHCM;0302483177;HOSE;CII
208;CTCP Xây lắp và Sản xuất công nghiệp;0101058736;UPCOM;CIP
209;Công ty Cổ phần Cơ điện miền Trung;0400528732;HNX;CJC
210;Công ty CP Cơ khí 120;0102833561;UPCOM;CK8
211;CÔNG TY CỔ PHẦN CƠ KHÍ AN GIANG;1600111049;UPCOM;CKA
212;Công ty Cổ phần Cơ khí Đông Anh Licogi;0100106391;UPCOM;CKD
213;Công ty Cổ phần Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang;1700113586;HOSE;CKG
214;CTCP Cokyvina;0100684716;HNX;CKV
215;Công ty cổ phần Cát Lợi;0303185504;HOSE;CLC
216;Công ty Cổ phần Cảng Cát Lái;0305168938;HOSE;CLL
217;CTCP Xuất nhập khẩu Than - Vinacomin;0100100304;HNX;CLM
218;CTCP Cấp nước chợ Lớn;0304797806;HOSE;CLW
219;CTCP XNK và Đầu tư Chợ Lớn;0301307933;UPCOM;CLX
220;CTCP Đầu tư CMC;0100104309;HNX;CMC
221;CTCP Vật Liệu Xây Dựng và Trang Trí Nội Thất Tp. Hồ Chí Minh;0302495140;UPCOM;CMD
222;Cổ Phần Thực phẩm CHOLIMEX;0304475742;UPCOM;CMF
223;CTCP Tập đoàn Công nghệ CMC;0100244112;HOSE;CMG
224;CTCP CMISTONE Việt Nam;0102381001;UPCOM;CMI
225;Công ty cổ phần Cơ khí Mạo Khê - Vinacomin;5700526478;UPCOM;CMK
226;CTCP Camimex;2001122903;UPCOM;CMM
227;CTCP Lương Thực Thực phẩm Colusa - Miliket;0304517551;UPCOM;CMN
228;CTCP Cảng Chân Mây;3300515171;UPCOM;CMP
229;CTCP Tập đoàn CMH Việt Nam;0102307343;HNX;CMS
230;CTCP Công nghệ Mạng và Truyền Thông;0101122893;UPCOM;CMT
231;CTCP Thương nghiệp Cà Mau;2000110221;HOSE;CMV
232;CTCP Cấp nước Cà Mau;2000101918;UPCOM;CMW
233;Công ty CP Camimex Group;2000103908;HOSE;CMX
234;Tổng công ty chè Nghệ An - CTCP;2900326223;UPCOM;CNA
235;CTCP Công nghệ cao Traphaco;0900255402;UPCOM;CNC
236;CTCP CNG Việt Nam;3500800828;HOSE;CNG
237;CTCP Tư vấn công nghệ, thiết bị và kiểm định xây dựng - CONINCO;0100106169;UPCOM;CNN
238;Công ty Cổ Phần Tập Đoàn CNT;0301460120;UPCOM;CNT
239;CTCP Vật tư - Xăng dầu (Comeco);0300450673;HOSE;COM
240;Công ty Cổ phần Cà phê Phước An;6000183273;UPCOM;CPA
241;CTCP Thuốc sát trùng Cần Thơ;1800457478;HNX;CPC
242;CTCP Phục vụ mai táng Hải Phòng;0201093942;UPCOM;CPH
243;CTCP Đầu tư Cảng Cái Lân;5700688013;UPCOM;CPI
244;CTCP Cảng Quảng Ninh;5700100231;UPCOM;CQN
245;CTCP Xi măng Quán Triều - VVMI;4600409377;UPCOM;CQT
246;Công ty cổ phần Create Capital Việt Nam;0105087537;HOSE;CRC
247;Công ty Cổ phần Bất động sản Thế Kỷ;0101160306;HOSE;CRE
248;CTCP Tập đoàn Bất động sản CRV;0102003419;HOSE;CRV
249;CTCP Tập đoàn COTANA;0101482984;HNX;CSC
250;Công Ty Cổ phần Công nghiệp Cao su Miền Nam;0300419930;HOSE;CSM
251;CTCP Than Cao Sơn - TKV;5700101098;HNX;CST
252;Công ty cổ phần Hóa chất cơ bản miền Nam;0301446260;HOSE;CSV
253;CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG CÔNG TRÌNH 3;0300421520;UPCOM;CT3
254;CTCP Công trình 6;0100104901;UPCOM;CT6
255;CTCP Vinavico;0101910492;UPCOM;CTA
256;Công ty cổ phần Chế tạo Bơm Hải Dương;0800287016;HNX;CTB
257;CTCP Xây dựng Coteccons;0303443233;HOSE;CTD
258;Công ty cổ phần TEST;12345678;HOSE;CTES
259;CTCP City Auto;0307979603;HOSE;CTF
260;Ngân hàng TMCP Công thương Việt Nam;0100111948;HOSE;CTG
261;CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN CƯỜNG THUẬN IDICO;3600459834;HOSE;CTI
262;CTCP Hòa Bình Takara;3200474316;HNX;CTP
263;Tổng CTCP Công trình Viettel;0104753865;HOSE;CTR
264;CTCP Chế tạo máy - Vinacomin;5700495999;HNX;CTT
265;Công ty Cổ phần Cấp thoát nước Cần Thơ;1800155244;UPCOM;CTW
266;Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam (CTX);0100109441;UPCOM;CTX
267;CTCP Vinam;0102174005;UPCOM;CVN
268;CTCP CMC;2600106523;HOSE;CVT
269;CTCP Đầu tư và xây lắp Constrexim Số 8;0101850677;HNX;CX8
270;CTCP Gạch men Chang Yih;472033000269;UPCOM;CYC
271;Công Ty Cổ Phần Địa Ốc 11;0300540937;HNX;D11
272;Công ty CP Phát triển Đô thị Công nghiệp Số 2;3600259560;HOSE;D2D
273;CTCP 382 Đông Anh (Tên cũ: CTCP Viglacera Đông Anh);0101412313;UPCOM;DAC
274;CTCP Đầu tư và phát triển giáo dục Đà Nẵng;3203001382;HNX;DAD
275;CTCP Sách giáo dục tại TP Đà Nẵng;0400463362;HNX;DAE
276;CTCP Tập đoàn Nhựa Đông Á;0101099228;UPCOM;DAG
277;CTCP Tập đoàn Khách sạn Đông Á;4600349907;HOSE;DAH
278;Công ty Cổ phần Dược Danapha;0400102091;UPCOM;DAN
279;CTCP Máy - Thiết bị dầu khí Đà Nẵng;0400101669;UPCOM;DAS
280;CTCP Đầu tư Du lịch và Phát triển thủy sản;1600895650;HOSE;DAT
281;CTCP Tập đoàn Dabaco Việt Nam;2300105790;HOSE;DBC
282;CTCP Dược - Trang Thiết Bị Y Tế Bình Định;4100259564;HOSE;DBD
283;CTCP Dược - Vật tư y tế Đắk Lắk;6000449389;UPCOM;DBM
284;CTCP Dược phẩm Bến Tre;1300382591;HOSE;DBT
285;CTCP Đầu tư phát triển xây dựng số 1;3500613828;UPCOM;DC1
286;CTCP Đầu tư phát triển xây dựng (DIC) số 2;3500707730;HNX;DC2
287;CTCP Xây dựng DIC Holdings;3500686978;HOSE;DC4
288;CTCP Xây dựng và thiết kế số 1;0301248798;UPCOM;DCF
289;Công ty Cổ Phần Tổng Công ty May Đáp Cầu;2300102398;UPCOM;DCG
290;CTCP Địa chính Hà Nội;0100102446;UPCOM;DCH
291;Công ty cổ phần Dược phẩm Cửu Long;1500202535;HOSE;DCL
292;Công ty Cổ phần Phân bón Dầu khí Cà Mau;2001012298;HOSE;DCM
293;CTCP Gạch men Cosevco;0400347937;UPCOM;DCR
294;Công ty Cổ phần Tập đoàn EDX;0101030402;UPCOM;DCS
295;CTCP Tấm lợp vật liệu xây dựng Đồng Nai;3600475018;UPCOM;DCT
296;CTCP Thương mại và Xây dựng Đông Dương;0101264009;UPCOM;DDB
297;CTCP Đầu Tư Công Nghiệp Xuất Nhập Khẩu Đông Dương;0310103090;HNX;DDG
298;CTCP đảm bảo giao thông đường thủy Hải Phòng;0200149102;UPCOM;DDH
299;CTCP Hàng hải Đông Đô;0100105253;UPCOM;DDM
300;Công ty cổ phần Dược - Thiết bị y tế Đà Nẵng;0400101404;UPCOM;DDN
301;Công ty Cổ phần DAP - Vinachem;0200827051;UPCOM;DDV
302;CTCP Xích Líp Đông Anh;0100100696;UPCOM;DFC
303;CTCP Tập đoàn Đua Fat;0104008162;UPCOM;DFF
304;CTCP Tập đoàn Hóa chất Đức Giang;0101452588;HOSE;DGC
305;CTCP Công trình Giao thông Đồng Nai;3600259916;UPCOM;DGT
306;CTCP Thế giới số;0302861742;HOSE;DGW
307;Công ty cổ phần Hóa An;3600464464;HOSE;DHA
308;CTCP Phân đạm và Hóa chất Hà Bắc;2400120344;UPCOM;DHB
309;Công ty Cổ phần Đông Hải Bến Tre;1300358260;HOSE;DHC
310;Công ty cổ phần Dược Vật tư y tế Hải Dương;0800011018;UPCOM;DHD
311;CTCP Dược Hậu Giang;1800156801;HOSE;DHG
312;Công ty cổ phần thương mại & khai thác khoáng sản Dương Hiếu;4600341471;HOSE;DHM
313;Công ty cổ phần Dược phẩm Hà Nội;0101337659;UPCOM;DHN
314;CÔNG TY CỔ PHẦN ĐIỆN CƠ HẢI PHÒNG;0200580118;HNX;DHP
315;CTCP Dược phẩm Hà Tây;0500391400;HNX;DHT
316;CTCP Đầu tư và thương mại DIC;0302979487;UPCOM;DIC
317;CTCP DIC Đồng Tiến;3600692809;UPCOM;DID
318;Tổng CTCP Đầu tư phát triển xây dựng;3500101107;HOSE;DIG
319;CTCP Đầu tư Phát triển Xây dựng - Hội An;4000391600;HNX;DIH
320;CTCP Chợ Lạng Sơn;4900102530;UPCOM;DKC
321;CTCP Tập đoàn DamiK;0800462363;UPCOM;DKG
322;Công ty Cổ phần Tập Đoàn Alpha Seven;5900437257;HNX;DL1
323;Công ty Cổ phần Du lịch Đắc Lắk;6000177738;UPCOM;DLD
324;CTCP Tập đoàn Đức Long Gia Lai;5900415863;HOSE;DLG
325;CTCP Địa ốc Đà Lạt;5800000142;UPCOM;DLR
326;Công ty CP Du lịch và Thương mại - VINACOMIN;0100101298;UPCOM;DLT
327;Công ty Cổ phần Dệt May 7;0300509782;UPCOM;DM7
328;CTCP Xuất Nhập Khẩu Y tế Domesco;1400460395;HOSE;DMC
329;CTCP Domenal;1400641835;UPCOM;DMN
330;CTCP Hóa phẩm Dầu khí DMC - Miền Nam;3500850392;UPCOM;DMS
331;CTCP Điện nước An Giang;1600249791;UPCOM;DNA
332;CTCP Điện nước lắp máy Hải Phòng;0200155561;HNX;DNC
333;Công Ty Cổ Phần Đầu tư xây dựng và Vật liệu Đồng Nai;3600259352;UPCOM;DND
334;CTCP Môi trường đô thị Đà Nẵng;0400228640;UPCOM;DNE
335;CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi;5800452036;UPCOM;DNH
336;Công ty cổ phần Logistics Cảng Đà Nẵng;0400999731;UPCOM;DNL
337;Tổng CTCP Y tế DANAMECO;0400102101;UPCOM;DNM
338;CTCP Cấp nước Đà Nẵng;0400101066;UPCOM;DNN
339;CÔNG TY CỔ PHẦN DNP HOLDING;3600662561;HNX;DNP
340;CTCP Du lịch Đồng Nai;3600276414;UPCOM;DNT
341;Công ty CP Cấp nước Đồng Nai;3600259296;UPCOM;DNW
342;CTCP Vật tư Nông nghiệp Đồng Nai;3600333736;UPCOM;DOC
343;CTCP Vận tải xăng dầu Đồng Tháp;1400475345;UPCOM;DOP
344;CÔNG TY CỔ PHẦN DƯỢC PHẨM TRUNG ƯƠNG CPC1;0100108536;UPCOM;DP1
345;CTCP Dược phẩm Trung Ương 2;0100109113;UPCOM;DP2
346;CTCP Dược phẩm trung ương 3;0200572501;HNX;DP3
347;CTCP Nhựa Đà Nẵng;0400383300;UPCOM;DPC
348;CTCP Đạt Phương;0101218757;HOSE;DPG
349;Công ty cổ phần dược phẩm Hải Phòng;0200140269;UPCOM;DPH
350;Tổng CTCP Phân bón và Hóa chất Dầu khí;0303165480;HOSE;DPM
351;CTCP Dược Đồng Nai;3600248086;UPCOM;DPP
352;Công ty Cổ phần Cao su Đồng Phú;3800100376;HOSE;DPR
353;CTCP đầu tư phát triển Sóc Sơn;0104890396;UPCOM;DPS
354;Công ty Cổ Phần Tập đoàn Điện Quang;0300363808;HOSE;DQC
355;CTCP Cao su Đà Nẵng;0400101531;HOSE;DRC
356;Công ty Cổ phần Cao su Đắk Lắk;6000175829;UPCOM;DRG
