STT;Tên đầy đủ;Mã số doanh nghiệp;Sàn niêm yết;Mã chứng khoán
1298;Công ty Cổ phần Cấp thoát nước Tuyên Quang;5000126040;UPCOM;TQW
1299;CTCP Vận tải 1 TRACO;0200380768;UPCOM;TR1
1300;Công ty Cổ phần Traphaco;0100108656;HOSE;TRA
1301;CTCP Cao su Tây Ninh;3900242776;HOSE;TRC
1302;CÔNG TY CỔ PHẦN VẬN TẢI VÀ DỊCH VỤ HÀNG HẢI;0304184415;UPCOM;TRS
1303;Công ty cổ phần RedstarCera;0800064718;UPCOM;TRT
1304;Công ty cổ phần Vận tải Đường sắt;0110879376;UPCOM;TRV
1305;Công ty cổ phần Trường Sơn 532;0401524441;UPCOM;TS3
1306;CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY LẮP TRƯỜNG SƠN;0700210210;HOSE;TSA
1307;CTCP Ắc quy Tia Sáng;0200168458;HNX;TSB
1308;CTCP Vật tư Kỹ thuật Nông nghiệp Cần Thơ;1800518314;HOSE;TSC
1309;CTCP Du lịch Trường Sơn Coecco;2900793002;UPCOM;TSD
1310;CTCP Thông tin tín hiệu đường sắt Sài Gòn;0301097524;UPCOM;TSG
1311;Công ty Cổ phần Du lịch Dịch vụ Hà Nội;0100107155;UPCOM;TSJ
1312;CTCP Dịch vụ kỹ thuật viễn thông (TST);0101334129;UPCOM;TST
1313;CTCP Tập đoàn Tiến Thịnh;6300254045;UPCOM;TT6
1314;CTCP Đầu tư xây dựng và Phát triển Trường Thành;0102899812;HOSE;TTA
1315;CTCP Tập đoàn Tiến bộ;4600359768;UPCOM;TTB
1316;CTCP Gạch Men Thanh Thanh;3600665643;HNX;TTC
1317;CTCP Bệnh viện Tim Tâm Đức;0302668322;UPCOM;TTD
1318;CTCP Đầu tư năng lượng Trường Thịnh;6101177237;HOSE;TTE
1319;Công ty Cổ phần Tập đoàn kỹ nghệ gỗ Trường Thành;3700530696;HOSE;TTF
1320;Công ty cổ phần may Thanh Trì;0102737811;UPCOM;TTG
1321;CTCP Thương mại và Dịch vụ Tiến Thành;0100596523;HNX;TTH
1322;Tổng công ty Thăng Long-CTCP;0100105020;HNX;TTL
1323;Công ty Cổ phần Công nghệ & Truyền thông Việt Nam;3700861497;UPCOM;TTN
1324;CTCP Cán thép Thái Trung;4600451322;UPCOM;TTS
1325;CÔNG TY CỔ PHẦN DU LỊCH - THƯƠNG MẠI TÂY NINH;3900244068;HNX;TTT
1326;CTCP Đầu tư Xây dựng và Công nghệ Tiến Trung;1000332857;UPCOM;TTZ
1327;Công ty cổ phần Lai dắt và Vận tải Cảng Hải Phòng;0201040588;UPCOM;TUG
1328;Công ty cổ phần Tư vấn xây dựng điện 1;0100100953;UPCOM;TV1
1329;Công ty Cổ phần Tư vấn Xây dựng Điện 2;0300420157;HOSE;TV2
1330;CTCP Tư vấn xây dựng điện 3;0301475102;HNX;TV3
1331;CTCP Tư vấn xây dựng Điện 4;4200385474;HNX;TV4
1332;Công ty cổ phần Tập đoàn EMA LAND;0600446389;UPCOM;TV6
1333;Công ty Cổ phần Sứ Viglacera Thanh Trì;0100107557;UPCOM;TVA
1334;CTCP Tập đoàn Quản lý Tài sản T-Corp;0106065776;HNX;TVC
1335;CTCP Than Vàng Danh - Vinacomin;5700101877;HNX;TVD
1336;CTCP Tư vấn Đầu tư và Xây dựng Giao thông Vận Tải;0100104570;UPCOM;TVG
1337;CTCP Tư vấn Xây dựng công trình Hàng hải;0200119411;UPCOM;TVH
1338;CTCP Tư vấn đầu tư mỏ và công nghiệp - Vinacomin;0500237543;UPCOM;TVM
1339;Tổng Công ty Thép Việt Nam-CTCP;0100100047;UPCOM;TVN
1340;Tổng công ty Việt Thắng - CTCP;0301445210;HOSE;TVT
1341;Công ty cổ phần Dược Trung ương 3;0400102077;UPCOM;TW3
1342;CTCP Vicem Thạch cao xi măng;3300101300;HNX;TXM
1343;CTCP Dây và Cáp điện Taya Việt Nam;3600241468;HOSE;TYA
1344;Công ty Cổ phần Đô thị Cần Thơ;1800271113;UPCOM;UCT
1345;CTCP Đầu tư xây dựng UDCons;3500101308;UPCOM;UDC
1346;CTCP Phát triển đô thị;3700785535;UPCOM;UDJ
1347;CTCP Đô thị và Môi trường Đắk Lắk;6000179936;UPCOM;UDL
1348;CTCP Cơ điện Uông Bí - Vinacomin;5700526340;UPCOM;UEM
1349;CTCP Đầu tư phát triển nhà và đô thị IDICO;3600486108;HOSE;UIC
1350;CTCP Công trình đô thị Nam Định;0600001446;UPCOM;UMC
1351;CTCP Đầu tư và Phát triển Sao Mai (tên cũ CTCP Viễn Liên);0301401291;HNX;UNI
1352;CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG VIÊN CÂY XANH & ĐÔ THỊ VŨNG TÀU;3500144358;UPCOM;UPC
1353;CTCP Dược phẩm TW 25;0300468511;UPCOM;UPH
1354;CTCP Khảo sát và xây dựng - USCO;0100107123;UPCOM;USC
1355;CTCP Công trình đô thị Sóc Trăng;2200177456;UPCOM;USD
1356;CTCP Chế biến Thủy sản Út Xi;2200203836;UPCOM;UXC
1357;CTCP Xây dựng số 11;0800281102;UPCOM;V11
1358;CTCP Xây dựng số 12;0101446753;HNX;V12
1359;CTCP Vinaconex 21;0500236902;HNX;V21
1360;Ngân hàng TMCP Việt Á;0302963695;UPCOM;VAB
1361;CTCP Phân lân nung chảy Văn Điển;0100103143;HOSE;VAF
1362;Công ty cổ phần VIWACO;0101624050;UPCOM;VAV
1363;Ngân hàng TMCP Việt Nam Thương Tín;2200269805;UPCOM;VBB
1364;CTCP Nhựa bao bì Vinh;2900531222;HNX;VBC
1365;CTCP Địa chất Việt Bắc - TKV;0104944595;UPCOM;VBG
1366;CTCP Điện tử Bình Hòa;0303207317;UPCOM;VBH
1367;CTCP Xây dựng Số 1;0100105479;HNX;VC1
1368;CTCP Đầu tư và Xây dựng Vina2;0100105895;HNX;VC2
1369;Công ty cổ phần Tập đoàn Nam Mê Kông;0101311837;HNX;VC3
1370;CTCP Xây dựng số 5;2800233984;UPCOM;VC5
1371;CTCP Xây dựng và Đầu tư Visicons;0100105503;HNX;VC6
1372;Công ty Cổ phần Tập đoàn BGI;0100105743;HNX;VC7
